,season,player,pts
3145,2020,James Harden,2335
2988,2020,Damian Lillard,1978
3028,2020,Devin Booker,1863
3091,2020,Giannis Antetokounmpo,1857
3466,2020,Trae Young,1778
3288,2020,Luka Dončić,1759
2929,2020,Bradley Beal,1741
3281,2020,LeBron James,1698
3041,2020,Donovan Mitchell,1655
2907,2020,Anthony Davis,1618
