,season,player,pts,reb,ast
3334,2020,Michael Kidd-Gilchrist,48,35,10
3335,2020,Michael Kidd-Gilchrist,12,32,4
3336,2020,Michael Porter Jr.,512,259,46
3337,2020,Mikal Bridges,667,292,129
3338,2020,Mike Conley,675,151,208
3339,2020,Mike Muscala,226,108,40
3340,2020,Mike Scott,408,248,56
3341,2020,Miles Bridges,843,362,114
3342,2020,Mitchell Robinson,590,428,36
3343,2020,Miye Oni,35,17,4
3344,2020,Mo Bamba,332,302,42
3345,2020,Monte Morris,660,137,255
3346,2020,Montrezl Harrell,1173,445,107
3347,2020,Moritz Wagner,393,219,56
3348,2020,Moses Brown,11,14,1
3349,2020,Mychal Mulder,77,23,8
3350,2020,Myles Turner,749,407,72
3351,2020,Nassir Little,172,108,22
3352,2020,Naz Mitrou-Long,14,7,8
3353,2020,Naz Reid,269,124,35
3354,2020,Nemanja Bjelica,831,458,203
3355,2020,Nerlens Noel,449,300,57
3356,2020,Nic Claxton,66,44,16
3357,2020,Nickeil Alexander-Walker,267,84,89
3358,2020,Nicolas Batum,79,100,66
3359,2020,Nicolò Melli,395,180,82
3360,2020,Nigel Williams-Goss,14,6,6
3361,2020,Nikola Jokić,1456,711,512
3362,2020,Nikola Vučević,1215,673,222
3363,2020,Noah Vonleh,132,124,28
3364,2020,Noah Vonleh,119,116,26
3365,2020,Noah Vonleh,13,8,2
3366,2020,Norman Powell,830,190,91
3367,2020,Norvel Pelle,57,72,8
3368,2020,OG Anunoby,733,364,108
3369,2020,Omari Spellman,370,219,47
3370,2020,Oshae Brissett,37,26,7
3371,2020,Otto Porter Jr.,167,48,25
3372,2020,P.J. Tucker,500,476,115
3373,2020,P.J. Washington,710,316,123
3374,2020,PJ Dozier,168,55,63
3375,2020,Pascal Siakam,1371,439,207
3376,2020,Pat Connaughton,360,284,107
3377,2020,Patrick Beverley,405,266,183
3378,2020,Patrick McCaw,170,86,79
3379,2020,Patrick Patterson,292,151,41
3380,2020,Patty Mills,767,108,118
3381,2020,Paul George,1033,272,185
3382,2020,Paul Millsap,591,293,83
3383,2020,Paul Watson,31,17,8
3384,2020,Paul Watson,0,2,3
3385,2020,Paul Watson,31,15,5
3386,2020,Quinn Cook,224,51,49
3387,2020,Quinndary Weatherspoon,12,7,11
3388,2020,RJ Barrett,803,279,143
3389,2020,Rajon Rondo,342,142,240
3390,2020,Raul Neto,275,61,95
3391,2020,Rayjon Tucker,62,20,5
3392,2020,Reggie Bullock,234,68,42
3393,2020,Reggie Jackson,370,92,126
3394,2020,Reggie Jackson,209,41,72
3395,2020,Reggie Jackson,161,51,54
3396,2020,Richaun Holmes,539,358,42
3397,2020,Ricky Rubio,847,304,570
3398,2020,Robert Covington,870,463,88
3399,2020,Robert Covington,615,287,56
3400,2020,Robert Covington,255,176,32
3401,2020,Robert Williams,150,128,27
3402,2020,Robin Lopez,357,161,45
3403,2020,Rodions Kurucs,215,137,51
3404,2020,Rodney Hood,230,72,32
3405,2020,Rodney McGruder,187,151,36
3406,2020,Romeo Langford,79,41,13
3407,2020,Rondae Hollis-Jefferson,418,283,106
3408,2020,Royce O'Neale,450,389,180
3409,2020,Rudy Gay,726,362,114
